                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   1.79,                 1.2115,                 1.7793,                0.79137,                0.76471,                0.78935,                0.38658,                 1.8364,                 1.3576,                  2.045,               0.000548,               0.000548,               0.000548
                     36,                 1.6305,                 1.2104,                 1.7584,                0.86007,                0.67647,                0.77722,                0.39578,                 1.7798,                 1.3678,                 2.0078,               0.000504,               0.000504,               0.000504
                     37,                 1.5865,                 1.1621,                 1.7503,                0.86421,                0.69118,                0.78622,                0.38268,                 1.7536,                 1.3085,                  1.959,                0.00046,                0.00046,                0.00046
                     38,                 1.5812,                 1.2079,                 1.7162,                0.87275,                0.70588,                0.77553,                0.37568,                 1.7658,                 1.4098,                 2.0064,               0.000416,               0.000416,               0.000416
                     39,                 1.5729,                 1.1772,                 1.7324,                0.85824,                0.63235,                0.76595,                0.39557,                 1.6797,                 1.3288,                  1.934,               0.000372,               0.000372,               0.000372
                     40,                 1.5687,                 1.1476,                 1.6875,                0.76779,                0.72941,                0.78368,                0.40368,                  1.712,                 1.3346,                 1.9519,               0.000328,               0.000328,               0.000328
                     41,                 1.5529,                  1.075,                 1.6867,                0.78894,                   0.75,                0.80277,                0.40142,                 1.7999,                 1.2972,                 2.0162,               0.000284,               0.000284,               0.000284
                     42,                 1.5415,                 1.0923,                 1.7042,                0.82002,                0.70588,                0.80296,                0.40991,                  1.761,                 1.2671,                   1.97,                0.00024,                0.00024,                0.00024
                     43,                 1.5289,                 1.0768,                 1.6688,                0.86416,                0.65496,                0.78849,                0.40896,                 1.7476,                 1.3171,                 1.9589,               0.000196,               0.000196,               0.000196
                     44,                 1.5271,                 1.0793,                  1.671,                0.81349,                0.69118,                0.80038,                0.42672,                 1.7125,                 1.2596,                 1.9716,               0.000152,               0.000152,               0.000152
                     45,                  1.491,                 1.0687,                 1.6351,                0.94132,                0.66176,                0.82533,                0.42869,                 1.7101,                 1.2479,                 1.9699,               0.000108,               0.000108,               0.000108
