                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4877,                 5.8357,                 4.3183,                0.00038,                0.08824,                0.00024,                  6e-05,                  4.489,                 5.7288,                 4.1673,                0.00052,                0.00052,                0.00052
                      2,                  4.022,                 4.9526,                 3.9291,                 0.0003,                0.07353,                0.00021,                  6e-05,                 4.5639,                 5.0822,                 4.2475,              0.0010075,              0.0010075,              0.0010075
                      3,                 3.5417,                 3.9689,                 3.4142,                0.00038,                0.07353,                0.00026,                  8e-05,                 4.7796,                 5.1235,                 4.4698,              0.0014416,              0.0014416,              0.0014416
                      4,                 3.1961,                 3.2896,                 3.0375,                0.37016,                0.07353,                0.05244,                0.01901,                 3.6844,                 4.4112,                 3.7937,               0.001703,               0.001703,               0.001703
                      5,                 3.0454,                 3.1113,                 2.8646,                0.06184,                0.11765,                0.02728,                0.00724,                 2.8251,                 3.6164,                 3.1979,               0.001703,               0.001703,               0.001703
                      6,                  2.903,                 2.9475,                 2.8293,                0.07392,                0.30882,                0.04468,                0.01114,                 2.8313,                 5.4315,                 3.1618,               0.001604,               0.001604,               0.001604
                      7,                 2.8386,                  2.772,                 2.6846,                0.15271,                0.27941,                0.12258,                 0.0376,                  2.591,                 3.5266,                 2.8943,               0.001505,               0.001505,               0.001505
                      8,                 2.8014,                 2.6362,                 2.6218,                0.15486,                0.30882,                0.12363,                0.03415,                  2.592,                 2.7448,                 2.7049,               0.001406,               0.001406,               0.001406
                      9,                 2.7489,                 2.5743,                 2.6298,                0.26295,                0.30882,                0.18421,                0.05421,                 2.5907,                 2.7161,                 2.7938,               0.001307,               0.001307,               0.001307
                     10,                  2.645,                 2.4394,                 2.5349,                0.27317,                0.26471,                0.21278,                0.07288,                  2.533,                 2.7834,                 2.7344,               0.001208,               0.001208,               0.001208
                     11,                 2.4802,                 2.4182,                 2.4988,                0.35217,                0.22059,                0.18944,                0.07065,                 2.4486,                  2.597,                 2.6323,               0.001109,               0.001109,               0.001109
                     12,                 2.4648,                 2.3366,                 2.4835,                0.12398,                0.14706,                0.07539,                0.02232,                 2.4032,                 2.8584,                 2.6433,                0.00101,                0.00101,                0.00101
                     13,                 2.3611,                  2.155,                 2.3777,                0.17901,                   0.25,                0.12749,                0.04582,                 2.4494,                 3.0074,                 2.6824,               0.000911,               0.000911,               0.000911
                     14,                 2.3138,                 2.1289,                 2.4057,                0.35935,                0.29412,                0.24214,                0.08333,                 2.2949,                 2.6657,                 2.5201,               0.000812,               0.000812,               0.000812
                     15,                 2.3069,                 2.0485,                 2.3577,                0.43583,                0.32353,                 0.3756,                0.12877,                 2.2557,                  2.126,                  2.457,               0.000713,               0.000713,               0.000713
                     16,                 2.2448,                 1.9528,                 2.2961,                0.52795,                0.46058,                0.48235,                0.16836,                 2.1975,                 2.0416,                 2.4287,               0.000614,               0.000614,               0.000614
                     17,                 2.1893,                 1.8667,                 2.2595,                0.65796,                0.48529,                0.47063,                0.17488,                 2.1688,                 2.1251,                 2.4204,               0.000515,               0.000515,               0.000515
                     18,                 2.1212,                 1.7971,                 2.1837,                0.53004,                0.55882,                0.52754,                 0.2143,                 2.1327,                 1.9545,                 2.3611,               0.000416,               0.000416,               0.000416
                     19,                 2.1605,                 1.7892,                 2.2292,                0.47666,                0.57597,                  0.484,                0.17444,                  2.157,                 1.9488,                 2.3596,               0.000317,               0.000317,               0.000317
                     20,                  2.074,                 1.7068,                 2.1498,                0.77069,                 0.4449,                 0.5709,                0.23445,                 2.0556,                 1.8911,                 2.2803,               0.000218,               0.000218,               0.000218
